timestamp,turbidity_NTU,temperature_C,pH,DO_mg_L,TDS_ppm,ammonia_ppm,water_quality,replace_action
2025-10-01 04:00:00,2.46,26.2,7.1,6.71,201.9,0.137,clean,0
2025-10-01 04:10:00,3.11,26.32,7.14,7.1,186.7,0.09,clean,0
2025-10-01 04:20:00,1.85,25.76,7.12,5.81,194.4,0.102,clean,0
2025-10-01 04:30:00,3.38,26.79,7.22,6.15,176.4,0.18,clean,0
2025-10-01 04:40:00,2.4,25.39,7.08,6.36,191.2,0.099,clean,0
2025-10-01 04:50:00,2.71,25.27,7.37,6.11,184.2,0.114,clean,0
2025-10-01 05:00:00,2.4,26.11,7.2,7.37,165.7,0.041,clean,0
2025-10-01 05:10:00,4.85,26.52,7.2,6.07,184.8,0.089,clean,0
2025-10-01 05:20:00,2.99,26.84,7.15,6.22,165.1,0.13,clean,0
2025-10-01 05:30:00,1.94,25.77,7.22,6.6,170.5,0.022,clean,0
2025-10-01 05:40:00,3.82,26.54,7.32,5.9,182.8,0.11,clean,0
2025-10-01 05:50:00,1.78,25.98,7.07,6.3,184.5,0.105,clean,0
2025-10-01 06:00:00,3.21,25.91,7.1,6.66,162.2,0.102,clean,0
2025-10-01 06:10:00,1.04,26.44,7.15,6.33,195.8,0.152,clean,0
2025-10-01 06:20:00,1.67,26.33,7.0,6.45,188.6,0.117,clean,0
2025-10-01 06:30:00,3.2,25.21,7.08,6.24,169.4,0.174,clean,0
2025-10-01 06:40:00,3.74,26.74,7.13,5.74,156.9,0.05,clean,0
2025-10-01 06:50:00,3.17,26.69,7.33,6.66,177.8,0.107,clean,0
2025-10-01 07:00:00,2.88,25.69,7.24,7.38,173.3,0.104,clean,0
2025-10-01 07:10:00,2.7,26.2,7.23,6.51,181.7,0.047,clean,0
2025-10-01 07:20:00,1.52,26.25,7.33,6.61,174.6,0.148,clean,0
2025-10-01 07:30:00,2.28,26.13,7.18,6.85,149.9,0.216,clean,0
2025-10-01 07:40:00,2.54,25.72,7.26,5.87,174.2,0.099,clean,0
2025-10-01 07:50:00,4.06,25.66,7.18,7.35,175.4,0.125,clean,0
2025-10-01 08:00:00,3.34,25.99,7.24,6.6,189.5,0.104,clean,0
2025-10-01 08:10:00,1.24,26.59,7.11,7.32,169.5,0.064,clean,0
2025-10-01 08:20:00,3.32,26.27,6.83,6.13,205.2,0.009,clean,0
2025-10-01 08:30:00,2.61,25.81,7.18,7.41,151.3,0.065,clean,0
2025-10-01 08:40:00,2.32,26.39,7.41,6.89,199.7,0.03,clean,0
2025-10-01 08:50:00,3.61,24.58,7.34,6.78,176.6,0.185,clean,0
2025-10-01 09:00:00,4.03,26.57,7.34,6.62,192.9,0.094,clean,0
2025-10-01 09:10:00,3.93,25.13,7.39,6.38,181.2,0.083,clean,0
2025-10-01 09:20:00,2.16,25.82,7.21,7.1,197.1,0.144,clean,0
2025-10-01 09:30:00,2.69,25.44,7.23,6.57,174.2,0.044,clean,0
2025-10-01 09:40:00,3.33,25.35,7.11,5.52,163.5,0.062,clean,0
2025-10-01 09:50:00,3.98,26.58,7.15,5.94,201.3,0.103,clean,0
2025-10-01 10:00:00,2.52,25.77,7.29,6.41,178.3,0.151,clean,0
2025-10-01 10:10:00,2.81,26.17,7.38,6.65,183.3,0.125,clean,0
2025-10-01 10:20:00,1.89,25.98,7.18,6.47,198.5,0.112,clean,0
2025-10-01 10:30:00,1.8,26.24,7.13,7.11,164.5,0.104,clean,0
2025-10-01 10:40:00,3.81,26.04,7.2,5.52,188.9,0.12,clean,0
2025-10-01 10:50:00,4.36,25.36,7.29,6.57,171.2,0.11,clean,0
2025-10-01 11:00:00,2.93,26.5,6.98,5.59,178.0,0.049,clean,0
2025-10-01 11:10:00,4.0,25.75,6.86,6.88,181.1,0.102,clean,0
2025-10-01 11:20:00,3.36,25.22,7.12,6.45,157.5,0.046,clean,0
2025-10-01 11:30:00,2.35,25.79,7.02,6.71,168.3,0.104,clean,0
2025-10-01 11:40:00,3.36,26.75,7.12,6.07,200.3,0.076,clean,0
2025-10-01 11:50:00,4.54,26.43,7.18,7.14,193.3,0.227,clean,0
2025-10-01 12:00:00,2.96,25.83,7.13,7.02,179.1,0.098,clean,0
2025-10-01 12:10:00,4.56,25.83,7.42,6.79,183.6,0.03,clean,0
2025-10-01 12:20:00,0.38,25.84,7.25,6.44,175.6,0.093,clean,0
2025-10-01 12:30:00,3.82,27.04,7.25,6.79,200.3,0.126,clean,0
2025-10-01 12:40:00,3.09,26.19,7.29,6.15,177.0,0.184,clean,0
2025-10-01 12:50:00,2.7,26.22,7.03,6.93,183.5,0.071,clean,0
2025-10-01 13:00:00,3.09,26.52,7.36,7.32,197.2,0.021,clean,0
2025-10-01 13:10:00,1.01,26.12,7.19,7.04,168.3,0.141,clean,0
2025-10-01 13:20:00,2.78,25.87,7.3,6.14,203.4,0.031,clean,0
2025-10-01 13:30:00,3.36,25.9,7.04,6.68,157.0,0.078,clean,0
2025-10-01 13:40:00,4.48,25.96,6.97,5.85,204.4,0.087,clean,0
2025-10-01 13:50:00,2.48,25.98,7.32,6.79,174.4,0.097,clean,0
2025-10-01 14:00:00,2.19,26.36,7.26,6.73,176.4,0.134,clean,0
2025-10-01 14:10:00,2.5,26.03,7.06,5.57,151.6,0.066,clean,0
2025-10-01 14:20:00,3.92,26.37,7.07,5.92,173.2,0.086,clean,0
2025-10-01 14:30:00,3.33,25.96,7.37,6.36,164.4,0.099,clean,0
2025-10-01 14:40:00,2.47,26.04,7.02,6.35,170.9,0.107,clean,0
2025-10-01 14:50:00,3.51,25.0,7.45,5.9,177.9,0.105,clean,0
2025-10-01 15:00:00,3.1,26.46,7.06,6.69,194.4,0.122,clean,0
2025-10-01 15:10:00,3.97,26.17,7.3,6.63,183.1,0.142,clean,0
2025-10-01 15:20:00,0.08,26.5,7.15,6.4,184.6,0.19,clean,0
2025-10-01 15:30:00,2.47,24.55,7.29,5.97,163.6,0.184,clean,0
2025-10-01 15:40:00,4.75,27.04,7.12,6.73,166.8,0.067,clean,0
2025-10-01 15:50:00,3.96,25.93,7.18,6.89,207.0,0.198,clean,0
2025-10-01 16:00:00,7.66,26.55,7.21,5.67,169.0,0.368,clean,0
2025-10-01 16:10:00,9.27,25.48,7.05,5.46,204.8,0.39,dirty,1
2025-10-01 16:20:00,11.63,26.31,7.31,5.86,176.4,0.326,dirty,1
2025-10-01 16:30:00,10.84,25.47,7.12,5.29,180.0,0.392,dirty,1
2025-10-01 16:40:00,12.21,25.69,7.17,5.25,196.1,0.51,dirty,1
2025-10-01 16:50:00,14.76,26.96,7.05,5.54,199.1,0.656,dirty,1
2025-10-01 17:00:00,16.04,25.9,6.82,4.07,178.3,0.799,dirty,1
2025-10-01 17:10:00,15.62,26.11,7.17,5.54,174.2,0.739,dirty,1
2025-10-01 17:20:00,15.21,26.44,7.56,4.77,179.2,0.819,dirty,1
2025-10-01 17:30:00,19.39,26.25,7.32,4.38,185.1,0.876,dirty,1
2025-10-01 17:40:00,22.66,26.08,7.2,4.39,193.4,0.917,dirty,1
2025-10-01 17:50:00,21.01,26.18,7.16,4.27,180.1,0.993,dirty,1
2025-10-01 18:00:00,24.11,27.2,7.2,3.28,189.3,1.059,dirty,1
2025-10-01 18:10:00,24.09,25.97,7.28,4.74,204.6,1.15,dirty,1
2025-10-01 18:20:00,23.15,26.1,7.02,3.87,185.7,1.294,dirty,1
2025-10-01 18:30:00,26.75,26.53,7.37,3.92,184.7,1.159,dirty,1
2025-10-01 18:40:00,3.06,26.55,7.31,6.98,157.2,0.126,clean,0
2025-10-01 18:50:00,5.46,26.59,7.31,5.99,140.5,0.074,clean,0
2025-10-01 19:00:00,2.81,26.32,7.27,6.74,185.8,0.057,clean,0
2025-10-01 19:10:00,3.3,25.43,7.2,6.37,178.6,0.099,clean,0
2025-10-01 19:20:00,2.97,26.82,7.3,6.92,172.3,0.107,clean,0
2025-10-01 19:30:00,1.83,25.43,7.29,5.44,183.7,0.246,clean,0
2025-10-01 19:40:00,4.14,26.15,7.15,6.45,179.1,0.091,clean,0
2025-10-01 19:50:00,3.75,25.62,7.11,6.2,196.9,0.043,clean,0
2025-10-01 20:00:00,3.79,25.97,7.22,6.72,181.3,0.114,clean,0
2025-10-01 20:10:00,2.09,26.16,7.43,6.74,168.8,0.0,clean,0
2025-10-01 20:20:00,4.4,26.16,7.01,6.15,194.9,0.095,clean,0
2025-10-01 20:30:00,1.6,26.21,6.98,6.14,176.7,0.101,clean,0
2025-10-01 20:40:00,3.59,26.81,7.22,6.44,187.9,0.14,clean,0
2025-10-01 20:50:00,5.19,26.23,7.21,6.05,172.8,0.149,clean,0
2025-10-01 21:00:00,2.01,25.88,7.23,6.92,170.3,0.075,clean,0
2025-10-01 21:10:00,2.43,26.48,7.24,6.32,181.3,0.092,clean,0
2025-10-01 21:20:00,3.1,26.59,7.17,5.05,180.2,0.062,clean,0
2025-10-01 21:30:00,2.5,25.39,7.42,6.31,187.2,0.044,clean,0
2025-10-01 21:40:00,1.45,26.3,6.96,5.98,176.0,0.115,clean,0
2025-10-01 21:50:00,3.07,26.35,7.08,5.68,152.5,0.036,clean,0
2025-10-01 22:00:00,1.94,25.85,7.18,5.88,173.5,0.079,clean,0
2025-10-01 22:10:00,3.47,26.69,6.95,6.55,191.9,0.05,clean,0
2025-10-01 22:20:00,2.08,25.92,7.17,7.16,175.5,0.127,clean,0
2025-10-01 22:30:00,4.55,26.06,7.45,6.66,176.3,0.19,clean,0
2025-10-01 22:40:00,2.22,25.91,7.2,6.2,194.8,0.035,clean,0
2025-10-01 22:50:00,2.68,26.01,7.23,6.73,169.3,0.007,clean,0
2025-10-01 23:00:00,3.81,25.45,7.01,6.27,156.9,0.094,clean,0
2025-10-01 23:10:00,1.77,25.28,7.11,6.15,177.6,0.101,clean,0
2025-10-01 23:20:00,3.23,26.8,7.14,5.92,172.7,0.111,clean,0
2025-10-01 23:30:00,4.31,25.58,7.15,5.62,165.5,0.078,clean,0
2025-10-01 23:40:00,1.39,25.5,7.39,6.31,177.4,0.09,clean,0
2025-10-01 23:50:00,3.18,24.92,7.28,6.58,187.4,0.118,clean,0
2025-10-02 00:00:00,3.26,25.68,7.03,6.45,179.9,0.152,clean,0
2025-10-02 00:10:00,3.78,25.34,7.24,6.29,184.6,0.002,clean,0
2025-10-02 00:20:00,1.76,26.82,7.27,6.03,207.2,0.082,clean,0
2025-10-02 00:30:00,1.68,26.5,7.37,6.8,174.9,0.111,clean,0
2025-10-02 00:40:00,3.52,25.66,7.44,5.84,184.2,0.054,clean,0
2025-10-02 00:50:00,3.3,27.13,7.05,6.89,172.4,0.187,clean,0
2025-10-02 01:00:00,3.25,26.49,7.08,6.0,167.3,0.068,clean,0
2025-10-02 01:10:00,3.35,25.84,7.01,6.12,171.2,0.098,clean,0
2025-10-02 01:20:00,2.32,24.75,7.16,5.77,172.8,0.128,clean,0
2025-10-02 01:30:00,3.23,27.15,7.27,6.25,185.4,0.07,clean,0
2025-10-02 01:40:00,3.29,25.31,7.35,6.99,215.2,0.008,clean,0
2025-10-02 01:50:00,2.29,25.18,7.19,6.76,169.3,0.079,clean,0
2025-10-02 02:00:00,4.87,26.51,7.15,6.99,173.8,0.151,clean,0
2025-10-02 02:10:00,3.47,27.22,7.22,6.76,179.1,0.083,clean,0
2025-10-02 02:20:00,1.81,26.69,7.07,5.95,185.9,0.058,clean,0
2025-10-02 02:30:00,3.66,26.28,7.51,6.33,184.0,0.146,clean,0
2025-10-02 02:40:00,2.03,26.3,6.96,6.11,199.3,0.083,clean,0
2025-10-02 02:50:00,3.79,26.43,7.23,7.17,143.6,0.074,clean,0
2025-10-02 03:00:00,4.16,26.38,7.5,5.9,144.2,0.107,clean,0
2025-10-02 03:10:00,2.18,26.14,7.2,6.95,172.6,0.139,clean,0
2025-10-02 03:20:00,3.96,26.05,7.17,6.95,196.5,0.219,clean,0
2025-10-02 03:30:00,3.41,25.97,7.15,7.41,156.5,0.141,clean,0
2025-10-02 03:40:00,3.82,25.62,7.17,6.3,134.9,0.158,clean,0
2025-10-02 03:50:00,4.9,25.86,7.41,6.86,188.6,0.075,clean,0
2025-10-02 04:00:00,2.75,25.15,6.87,7.64,183.7,0.049,clean,0
2025-10-02 04:10:00,2.25,25.95,7.43,6.19,163.6,0.103,clean,0
2025-10-02 04:20:00,2.11,25.51,6.99,5.73,165.2,0.105,clean,0
2025-10-02 04:30:00,2.18,25.45,7.16,5.56,165.5,0.046,clean,0
2025-10-02 04:40:00,2.92,26.09,7.14,6.86,181.7,0.091,clean,0
2025-10-02 04:50:00,3.34,26.7,7.29,5.56,170.6,0.12,clean,0
2025-10-02 05:00:00,3.28,26.46,6.96,6.31,187.4,0.118,clean,0
2025-10-02 05:10:00,3.83,25.21,7.27,6.72,137.2,0.125,clean,0
2025-10-02 05:20:00,3.01,25.51,7.5,6.59,167.1,0.115,clean,0
2025-10-02 05:30:00,4.45,26.47,7.0,6.71,163.1,0.075,clean,0
2025-10-02 05:40:00,2.74,25.51,7.23,6.61,176.2,0.074,clean,0
2025-10-02 05:50:00,5.72,25.89,7.1,7.14,171.9,0.04,clean,0
2025-10-02 06:00:00,3.63,26.28,7.26,6.02,192.0,0.189,clean,0
2025-10-02 06:10:00,2.14,25.52,7.2,6.16,152.1,0.101,clean,0
2025-10-02 06:20:00,1.93,26.05,7.1,6.11,180.7,0.089,clean,0
2025-10-02 06:30:00,3.48,25.33,7.27,6.92,188.4,0.054,clean,0
2025-10-02 06:40:00,2.78,25.7,7.47,6.95,207.8,0.247,clean,0
2025-10-02 06:50:00,3.71,26.16,7.17,6.73,172.8,0.046,clean,0
2025-10-02 07:00:00,3.47,25.2,7.31,7.09,184.9,0.079,clean,0
2025-10-02 07:10:00,2.93,26.22,7.01,5.91,152.9,0.121,clean,0
2025-10-02 07:20:00,2.15,25.99,7.06,7.33,144.1,0.13,clean,0
2025-10-02 07:30:00,1.49,26.28,7.27,7.26,192.7,0.148,clean,0
2025-10-02 07:40:00,2.55,26.11,7.42,6.87,179.9,0.19,clean,0
2025-10-02 07:50:00,3.86,26.68,7.25,7.39,197.7,0.125,clean,0
2025-10-02 08:00:00,3.21,26.06,7.15,5.67,159.4,0.047,clean,0
2025-10-02 08:10:00,1.75,25.79,7.2,6.24,187.8,0.087,clean,0
2025-10-02 08:20:00,3.17,26.06,7.01,6.13,208.0,0.115,clean,0
2025-10-02 08:30:00,3.39,26.27,7.29,6.86,186.3,0.203,clean,0
2025-10-02 08:40:00,2.12,26.02,7.33,5.97,184.1,0.03,clean,0
2025-10-02 08:50:00,3.15,26.02,7.13,6.88,180.1,0.16,clean,0
2025-10-02 09:00:00,3.06,25.65,7.13,7.19,156.4,0.109,clean,0
2025-10-02 09:10:00,1.86,25.67,7.24,6.85,200.3,0.142,clean,0
2025-10-02 09:20:00,3.36,25.3,7.13,6.64,170.8,0.095,clean,0
2025-10-02 09:30:00,3.56,26.87,7.19,6.01,187.6,0.058,clean,0
2025-10-02 09:40:00,4.08,25.38,7.51,6.08,156.6,0.138,clean,0
2025-10-02 09:50:00,4.05,25.65,7.16,7.12,162.3,0.133,clean,0
2025-10-02 10:00:00,1.62,25.64,7.15,6.89,201.5,0.149,clean,0
2025-10-02 10:10:00,2.06,26.45,7.1,6.48,174.8,0.099,clean,0
2025-10-02 10:20:00,3.52,25.85,7.31,6.29,201.8,0.07,clean,0
2025-10-02 10:30:00,3.51,26.62,7.17,5.49,178.8,0.022,clean,0
2025-10-02 10:40:00,3.52,25.66,7.1,5.96,152.4,0.141,clean,0
2025-10-02 10:50:00,6.85,26.14,7.4,7.46,193.4,0.121,clean,0
2025-10-02 11:00:00,3.57,25.58,7.41,5.86,171.2,0.052,clean,0
2025-10-02 11:10:00,4.14,27.07,7.11,6.59,190.5,0.073,clean,0
2025-10-02 11:20:00,3.95,25.41,6.92,7.0,180.4,0.077,clean,0
2025-10-02 11:30:00,3.65,26.15,7.35,5.87,156.9,0.026,clean,0
2025-10-02 11:40:00,2.68,26.32,7.1,6.59,182.5,0.059,clean,0
2025-10-02 11:50:00,3.76,26.21,7.32,6.97,212.9,0.043,clean,0
2025-10-02 12:00:00,2.23,25.91,6.9,6.51,187.4,0.079,clean,0
2025-10-02 12:10:00,2.76,25.94,7.33,7.93,179.1,0.063,clean,0
2025-10-02 12:20:00,2.51,26.02,7.02,5.67,196.1,0.019,clean,0
2025-10-02 12:30:00,3.08,25.93,7.31,7.03,183.2,0.201,clean,0
2025-10-02 12:40:00,5.31,26.48,7.2,6.41,183.1,0.163,clean,0
2025-10-02 12:50:00,1.13,27.11,7.06,6.89,163.6,0.061,clean,0
2025-10-02 13:00:00,3.69,25.72,7.14,6.72,183.5,0.114,clean,0
2025-10-02 13:10:00,1.39,25.32,7.3,6.13,195.5,0.121,clean,0
2025-10-02 13:20:00,2.53,25.96,7.22,6.61,167.5,0.16,clean,0
2025-10-02 13:30:00,4.09,27.29,7.29,5.57,201.4,0.059,clean,0
2025-10-02 13:40:00,3.06,25.6,7.5,6.8,178.6,0.155,clean,0
2025-10-02 13:50:00,1.92,26.82,6.97,6.65,166.7,0.073,clean,0
2025-10-02 14:00:00,2.28,26.84,7.44,6.82,195.0,0.033,clean,0
2025-10-02 14:10:00,3.68,25.72,7.22,7.03,175.7,0.136,clean,0
2025-10-02 14:20:00,2.27,26.28,7.07,6.68,191.4,0.165,clean,0
2025-10-02 14:30:00,3.22,26.81,7.0,6.57,175.6,0.229,clean,0
2025-10-02 14:40:00,3.05,25.81,7.17,6.06,179.1,0.04,clean,0
2025-10-02 14:50:00,2.35,25.9,7.34,6.14,187.4,0.135,clean,0
2025-10-02 15:00:00,5.14,25.71,7.18,7.09,184.4,0.08,clean,0
2025-10-02 15:10:00,3.63,25.49,7.43,7.22,150.1,0.139,clean,0
2025-10-02 15:20:00,0.97,25.68,6.98,6.38,163.2,0.026,clean,0
2025-10-02 15:30:00,3.19,25.39,7.2,6.52,193.9,0.037,clean,0
2025-10-02 15:40:00,2.34,26.02,7.01,6.05,178.0,0.061,clean,0
2025-10-02 15:50:00,3.85,25.62,7.25,7.09,172.1,0.104,clean,0
2025-10-02 16:00:00,2.21,26.12,7.33,6.83,159.6,0.068,clean,0
2025-10-02 16:10:00,2.89,25.22,7.14,7.47,163.8,0.133,clean,0
2025-10-02 16:20:00,3.5,26.17,6.81,6.06,149.7,0.151,clean,0
2025-10-02 16:30:00,3.87,26.42,7.23,6.31,178.5,0.13,clean,0
2025-10-02 16:40:00,1.8,25.0,7.27,6.62,171.0,0.181,clean,0
2025-10-02 16:50:00,2.67,26.19,7.26,6.82,165.5,0.121,clean,0
2025-10-02 17:00:00,2.53,26.61,7.39,6.39,179.0,0.039,clean,0
2025-10-02 17:10:00,2.35,25.4,7.04,6.06,185.5,0.168,clean,0
2025-10-02 17:20:00,4.77,26.84,7.3,6.94,211.4,0.07,clean,0
2025-10-02 17:30:00,3.4,26.21,7.38,6.86,157.3,0.146,clean,0
2025-10-02 17:40:00,1.74,25.65,6.93,6.04,197.4,0.179,clean,0
2025-10-02 17:50:00,3.92,25.97,7.25,7.18,194.6,0.123,clean,0
2025-10-02 18:00:00,5.12,26.28,7.12,7.09,168.3,0.025,clean,0
2025-10-02 18:10:00,4.03,26.04,7.19,6.57,183.0,0.054,clean,0
2025-10-02 18:20:00,1.48,26.27,7.25,6.54,173.1,0.166,clean,0
2025-10-02 18:30:00,2.52,25.54,7.13,6.78,182.8,0.092,clean,0
2025-10-02 18:40:00,4.27,26.08,7.1,6.07,202.6,0.104,clean,0
2025-10-02 18:50:00,2.29,25.29,7.21,6.52,189.1,0.138,clean,0
2025-10-02 19:00:00,3.44,25.94,7.04,5.42,187.6,0.135,clean,0
2025-10-02 19:10:00,3.77,25.55,7.04,6.94,173.5,0.114,clean,0
2025-10-02 19:20:00,2.07,25.63,7.3,5.72,157.7,0.09,clean,0
2025-10-02 19:30:00,2.94,26.62,7.03,7.25,176.9,0.084,clean,0
2025-10-02 19:40:00,0.0,26.55,7.3,6.33,198.1,0.143,clean,0
2025-10-02 19:50:00,1.98,26.3,7.27,6.39,157.1,0.128,clean,0
2025-10-02 20:00:00,2.75,25.45,6.94,6.19,164.2,0.087,clean,0
2025-10-02 20:10:00,1.75,25.84,7.1,6.36,181.9,0.154,clean,0
2025-10-02 20:20:00,4.63,26.61,7.38,7.21,165.2,0.094,clean,0
2025-10-02 20:30:00,1.57,26.07,7.05,5.26,168.1,0.057,clean,0
2025-10-02 20:40:00,2.56,27.16,7.13,7.14,173.6,0.062,clean,0
2025-10-02 20:50:00,3.13,26.2,7.27,6.67,159.5,0.051,clean,0
2025-10-02 21:00:00,4.44,26.1,7.32,5.9,165.4,0.086,clean,0
2025-10-02 21:10:00,1.56,25.85,7.16,5.96,190.6,0.162,clean,0
2025-10-02 21:20:00,4.16,26.07,7.11,7.34,160.4,0.06,clean,0
2025-10-02 21:30:00,3.01,25.92,7.41,6.03,156.0,0.109,clean,0
2025-10-02 21:40:00,2.02,26.35,7.46,5.92,170.5,0.067,clean,0
2025-10-02 21:50:00,3.46,26.48,7.35,7.07,191.0,0.087,clean,0
2025-10-02 22:00:00,3.2,25.61,7.21,6.67,177.0,0.024,clean,0
2025-10-02 22:10:00,2.4,25.33,7.08,6.03,173.0,0.089,clean,0
2025-10-02 22:20:00,3.07,25.08,7.08,6.61,180.7,0.09,clean,0
2025-10-02 22:30:00,2.61,26.25,7.28,5.99,153.8,0.127,clean,0
2025-10-02 22:40:00,3.11,25.45,7.26,7.05,187.4,0.111,clean,0
2025-10-02 22:50:00,3.66,24.92,7.41,7.03,185.8,0.04,clean,0
2025-10-02 23:00:00,4.59,26.19,7.3,6.77,173.9,0.154,clean,0
2025-10-02 23:10:00,1.76,27.25,6.97,6.68,195.1,0.111,clean,0
2025-10-02 23:20:00,5.13,26.0,7.36,7.38,163.1,0.11,clean,0
2025-10-02 23:30:00,1.05,26.42,7.05,6.5,196.9,0.1,clean,0
2025-10-02 23:40:00,2.85,26.04,7.14,5.91,182.3,0.074,clean,0
2025-10-02 23:50:00,3.59,25.95,7.24,6.72,175.0,0.111,clean,0
2025-10-03 00:00:00,3.28,26.46,7.5,7.54,179.7,0.124,clean,0
2025-10-03 00:10:00,2.38,25.85,7.67,5.99,178.4,0.013,clean,0
2025-10-03 00:20:00,2.79,26.13,7.29,6.32,198.3,0.073,clean,0
2025-10-03 00:30:00,2.51,26.16,7.17,6.71,163.8,0.087,clean,0
2025-10-03 00:40:00,2.41,25.67,7.28,6.47,168.6,0.113,clean,0
2025-10-03 00:50:00,3.85,26.5,7.33,6.01,195.5,0.16,clean,0
2025-10-03 01:00:00,3.36,25.91,7.15,7.06,171.1,0.061,clean,0
2025-10-03 01:10:00,2.31,25.62,7.47,7.66,193.5,0.075,clean,0
2025-10-03 01:20:00,3.9,26.27,7.23,6.6,205.5,0.074,clean,0
2025-10-03 01:30:00,3.51,25.55,7.27,6.05,174.0,0.027,clean,0
2025-10-03 01:40:00,4.14,26.01,7.3,5.63,190.2,0.096,clean,0
2025-10-03 01:50:00,6.77,26.0,7.26,6.45,162.7,0.389,clean,0
2025-10-03 02:00:00,6.2,26.54,7.33,6.78,191.3,0.468,clean,0
2025-10-03 02:10:00,7.62,26.24,7.11,6.38,183.0,0.556,dirty,1
2025-10-03 02:20:00,10.96,25.99,7.12,6.05,187.1,0.617,dirty,1
2025-10-03 02:30:00,11.42,26.41,7.03,5.66,170.3,0.689,dirty,1
2025-10-03 02:40:00,10.61,26.7,7.27,5.32,155.1,0.918,dirty,1
2025-10-03 02:50:00,12.02,26.28,7.32,6.19,187.5,1.092,dirty,1
2025-10-03 03:00:00,14.9,26.01,7.27,6.14,149.0,1.092,dirty,1
2025-10-03 03:10:00,13.68,25.34,7.45,4.82,175.2,1.111,dirty,1
2025-10-03 03:20:00,16.5,25.47,7.2,6.3,194.1,1.256,dirty,1
2025-10-03 03:30:00,13.93,25.85,7.3,5.7,182.9,1.512,dirty,1
2025-10-03 03:40:00,19.14,25.7,7.04,6.02,209.2,1.572,dirty,1
2025-10-03 03:50:00,19.75,25.91,7.14,4.56,195.4,1.722,dirty,1
2025-10-03 04:00:00,18.9,26.03,7.3,4.46,170.2,1.845,dirty,1
2025-10-03 04:10:00,20.71,26.26,7.33,4.98,180.4,1.958,dirty,1
2025-10-03 04:20:00,21.1,25.96,7.16,5.21,179.3,2.134,dirty,1
2025-10-03 04:30:00,3.02,26.24,7.19,7.4,156.3,0.145,clean,0
2025-10-03 04:40:00,3.68,26.03,6.97,6.85,165.9,0.018,clean,0
2025-10-03 04:50:00,2.69,25.01,7.15,6.38,171.6,0.055,clean,0
2025-10-03 05:00:00,3.32,25.53,7.33,5.99,149.5,0.01,clean,0
2025-10-03 05:10:00,2.87,25.93,7.29,7.12,180.7,0.086,clean,0
2025-10-03 05:20:00,3.1,25.4,7.28,6.02,176.3,0.098,clean,0
2025-10-03 05:30:00,3.6,26.3,7.21,7.31,154.9,0.106,clean,0
2025-10-03 05:40:00,2.18,26.77,7.2,6.36,186.1,0.103,clean,0
2025-10-03 05:50:00,5.09,26.61,7.1,7.3,190.7,0.054,clean,0
2025-10-03 06:00:00,1.99,25.89,7.3,6.84,183.4,0.09,clean,0
2025-10-03 06:10:00,1.79,26.75,7.26,6.43,175.1,0.025,clean,0
2025-10-03 06:20:00,4.16,26.07,7.27,6.24,188.9,0.168,clean,0
2025-10-03 06:30:00,3.79,25.83,7.12,6.33,190.2,0.085,clean,0
2025-10-03 06:40:00,3.62,25.69,6.88,6.71,184.6,0.076,clean,0
